date,flight_sorties,is_holiday,user_type,enterprise_name,admin_region,aircraft_model,day_of_week,cross_region,time_slot,flight_duration,flight_distance,altitude_interval,aircraft_category,entity_id
2023-10-02,1,No,Individual,Ent_98,Baoan,EH216,Monday,Futian-Longgang,19:00-20:00,37,12.947620265736644,>600m,Industrial,Entity_14
2023-09-18,4,No,Enterprise,Ent_70,Futian,Matrice 300,Monday,Luohu-Longgang,08:00-09:00,12,10.192156783141956,300-600m,Industrial,Entity_46
2023-01-10,3,No,Enterprise,Ent_42,Luohu,EH216,Tuesday,Futian-Nanshan,20:00-21:00,31,15.647083459392798,0-100m,Industrial,Entity_43
2023-12-07,1,No,Unknown,Ent_81,Baoan,Mavic 3,Thursday,Luohu-Futian,06:00-07:00,27,18.39140252536915,300-600m,Logistics,Entity_16
2023-01-18,3,No,Individual,Ent_40,Nanshan,Agras T40,Wednesday,Futian-Longgang,18:00-19:00,9,4.775820020817649,300-600m,Industrial,Entity_124
2023-03-19,3,Yes,Individual,Ent_89,Longgang,Matrice 300,Sunday,Nanshan-Futian,20:00-21:00,34,4.8886601014927695,0-100m,Consumer,Entity_147
2023-06-12,5,No,Unknown,Ent_88,Futian,Mavic 3,Monday,Luohu-Futian,17:00-18:00,22,17.33541505876119,100-300m,Industrial,Entity_40
2023-06-06,5,No,Unknown,Ent_62,Longgang,EH216,Tuesday,Baoan-Longgang,16:00-17:00,7,5.583514921481724,>600m,Logistics,Entity_85
2023-02-05,2,Yes,Individual,Ent_66,Nanshan,Agras T40,Sunday,Baoan-Nanshan,10:00-11:00,11,8.988034782133154,300-600m,Logistics,Entity_200
2023-02-23,2,No,Enterprise,Ent_49,Futian,Matrice 300,Thursday,Baoan-Longgang,10:00-11:00,12,4.8595381976496,100-300m,Consumer,Entity_186
2023-01-19,1,No,Enterprise,Ent_61,Nanshan,V1500,Thursday,Futian-Futian,21:00-22:00,48,14.853646295212371,100-300m,Passenger,Entity_13
2023-03-02,3,No,Enterprise,Ent_22,Longgang,EH216,Thursday,Longgang-Luohu,07:00-08:00,16,15.071160585889771,>600m,Industrial,Entity_195
2023-11-10,3,No,Individual,Ent_12,Luohu,Mavic 3,Friday,Longgang-Futian,10:00-11:00,56,15.109344954800694,100-300m,Logistics,Entity_86
2023-02-02,5,No,Enterprise,Ent_24,Nanshan,EH216,Thursday,Luohu-Futian,12:00-13:00,6,6.2076198604908015,100-300m,Passenger,Entity_122
2023-01-30,1,No,Individual,Ent_27,Baoan,Mavic 3,Monday,Nanshan-Luohu,17:00-18:00,8,6.001285904004022,>600m,Passenger,Entity_127
2023-10-04,3,No,Unknown,Ent_46,Baoan,EH216,Wednesday,Luohu-Longgang,10:00-11:00,47,17.236757321018032,>600m,Industrial,Entity_160
2023-06-06,1,No,Individual,Ent_75,Nanshan,Mavic 3,Tuesday,Futian-Nanshan,17:00-18:00,59,4.6036823498337585,0-100m,Passenger,Entity_32
2023-04-13,1,No,Individual,Ent_66,Luohu,Mavic 3,Thursday,Futian-Nanshan,18:00-19:00,27,11.467062268714399,>600m,Logistics,Entity_96
2023-12-22,1,No,Enterprise,Ent_82,Futian,V1500,Friday,Baoan-Luohu,13:00-14:00,47,9.59081718611671,0-100m,Passenger,Entity_43
2023-04-11,1,No,Individual,Ent_77,Futian,V1500,Tuesday,Luohu-Nanshan,16:00-17:00,11,2.2420833896710723,300-600m,Consumer,Entity_4
2023-02-04,2,Yes,Unknown,Ent_84,Longgang,V1500,Saturday,Futian-Nanshan,14:00-15:00,59,9.261083310820158,100-300m,Passenger,Entity_192
2023-04-21,3,No,Enterprise,Ent_25,Futian,Mavic 3,Friday,Nanshan-Longgang,10:00-11:00,27,8.462737244692313,0-100m,Logistics,Entity_164
2023-08-19,3,Yes,Individual,Ent_34,Luohu,V1500,Saturday,Luohu-Futian,15:00-16:00,59,13.717964626029676,300-600m,Consumer,Entity_38
2023-05-30,2,No,Unknown,Ent_18,Futian,Agras T40,Tuesday,Baoan-Nanshan,17:00-18:00,17,18.625054059108496,300-600m,Logistics,Entity_178
2023-09-29,1,No,Unknown,Ent_59,Futian,Matrice 300,Friday,Baoan-Nanshan,09:00-10:00,58,14.588403007216408,0-100m,Logistics,Entity_68
2023-12-12,4,No,Individual,Ent_71,Baoan,V1500,Tuesday,Luohu-Futian,21:00-22:00,46,12.052223569024873,>600m,Passenger,Entity_27
2023-09-28,5,No,Enterprise,Ent_35,Baoan,EH216,Thursday,Longgang-Futian,20:00-21:00,33,15.380176157764172,>600m,Passenger,Entity_52
2023-06-24,1,Yes,Enterprise,Ent_16,Nanshan,Agras T40,Saturday,Futian-Longgang,07:00-08:00,35,10.144374720946503,300-600m,Passenger,Entity_20
2023-04-11,3,No,Individual,Ent_58,Baoan,V1500,Tuesday,Longgang-Baoan,20:00-21:00,7,1.0491894942792017,300-600m,Logistics,Entity_189
2023-08-03,3,No,Enterprise,Ent_25,Baoan,Agras T40,Thursday,Longgang-Luohu,09:00-10:00,37,16.411517714298277,0-100m,Passenger,Entity_82
2023-05-26,4,No,Enterprise,Ent_98,Nanshan,Matrice 300,Friday,Nanshan-Futian,19:00-20:00,19,8.336269342531127,300-600m,Passenger,Entity_29
2023-11-26,4,Yes,Enterprise,Aerofugia,Nanshan,Agras T40,Sunday,Futian-Nanshan,20:00-21:00,39,16.35487225710186,>600m,Passenger,Entity_127
2023-04-21,1,No,Individual,Ent_4,Longgang,Mavic 3,Friday,Luohu-Nanshan,19:00-20:00,57,10.524805303246353,300-600m,Logistics,Entity_113
2023-03-26,1,Yes,Unknown,Ent_90,Futian,V1500,Sunday,Baoan-Longgang,20:00-21:00,11,2.9216848576534975,>600m,Logistics,Entity_110
2023-04-08,4,Yes,Unknown,Ent_12,Nanshan,Matrice 300,Saturday,Baoan-Longgang,19:00-20:00,60,3.7834707275414736,0-100m,Consumer,Entity_138
2023-02-07,3,No,Individual,Aerofugia,Futian,Agras T40,Tuesday,Longgang-Futian,18:00-19:00,25,8.494525584531488,100-300m,Consumer,Entity_187
2023-08-06,2,Yes,Individual,Ent_71,Longgang,V1500,Sunday,Nanshan-Luohu,17:00-18:00,46,15.01791865569882,100-300m,Consumer,Entity_180
2023-06-03,5,Yes,Individual,Ent_81,Baoan,Mavic 3,Saturday,Nanshan-Nanshan,16:00-17:00,32,4.606490178938767,>600m,Logistics,Entity_110
2023-02-10,2,No,Enterprise,Aerofugia,Longgang,V1500,Friday,Longgang-Futian,21:00-22:00,58,2.95271937172774,100-300m,Consumer,Entity_64
2023-04-02,1,Yes,Unknown,Ent_99,Baoan,Mavic 3,Sunday,Baoan-Baoan,18:00-19:00,35,16.487232127588495,0-100m,Industrial,Entity_95
2023-06-06,5,No,Individual,Ent_83,Nanshan,Agras T40,Tuesday,Futian-Baoan,17:00-18:00,29,19.68953005063917,100-300m,Industrial,Entity_123
2023-11-11,1,Yes,Enterprise,Ent_27,Nanshan,Matrice 300,Saturday,Luohu-Longgang,13:00-14:00,16,12.677578181625238,300-600m,Consumer,Entity_103
2023-12-02,5,Yes,Unknown,Ent_21,Longgang,Agras T40,Saturday,Baoan-Futian,08:00-09:00,10,7.0904210187222345,0-100m,Industrial,Entity_153
2023-03-14,3,No,Individual,Ent_25,Baoan,Matrice 300,Tuesday,Luohu-Futian,18:00-19:00,23,6.148580010210254,100-300m,Industrial,Entity_44
2023-04-15,4,Yes,Enterprise,Ent_60,Futian,Matrice 300,Saturday,Futian-Baoan,15:00-16:00,12,18.03459320780395,0-100m,Consumer,Entity_159
2023-07-20,5,No,Individual,Ent_22,Futian,EH216,Thursday,Futian-Luohu,10:00-11:00,41,2.959939977406063,>600m,Logistics,Entity_37
2023-04-12,1,No,Individual,Ent_36,Luohu,Matrice 300,Wednesday,Luohu-Baoan,12:00-13:00,60,19.10970633785907,100-300m,Passenger,Entity_94
2023-01-19,3,No,Individual,Ent_2,Futian,Mavic 3,Thursday,Baoan-Luohu,08:00-09:00,34,7.938578832103487,0-100m,Passenger,Entity_23
2023-01-21,4,Yes,Individual,Ent_33,Futian,Agras T40,Saturday,Longgang-Longgang,14:00-15:00,19,9.111126127026559,0-100m,Logistics,Entity_53
2023-01-12,3,No,Unknown,Ent_84,Longgang,Agras T40,Thursday,Luohu-Baoan,08:00-09:00,26,5.583707498377943,0-100m,Passenger,Entity_11
2023-01-09,2,No,Enterprise,Ent_16,Longgang,Agras T40,Monday,Baoan-Longgang,15:00-16:00,49,16.297183182835262,100-300m,Industrial,Entity_27
2023-02-07,4,No,Enterprise,Ent_91,Futian,Matrice 300,Tuesday,Baoan-Luohu,06:00-07:00,49,9.165587442126814,>600m,Industrial,Entity_33
2023-09-30,3,Yes,Individual,Ent_37,Nanshan,V1500,Saturday,Nanshan-Longgang,14:00-15:00,26,5.578174498831297,0-100m,Passenger,Entity_44
2023-02-10,2,No,Unknown,Ent_86,Longgang,Agras T40,Friday,Baoan-Longgang,17:00-18:00,47,7.192339111584295,100-300m,Passenger,Entity_112
2023-01-24,4,No,Individual,Ent_27,Futian,Matrice 300,Tuesday,Luohu-Nanshan,21:00-22:00,45,0.865197431562365,100-300m,Passenger,Entity_167
2023-07-31,3,No,Individual,Ent_15,Baoan,EH216,Monday,Baoan-Futian,10:00-11:00,17,16.036677482196367,0-100m,Industrial,Entity_70
2023-04-09,2,Yes,Enterprise,Ent_51,Baoan,V1500,Sunday,Baoan-Baoan,11:00-12:00,8,13.365247587319953,300-600m,Industrial,Entity_35
2023-06-18,4,Yes,Unknown,Ent_76,Luohu,Agras T40,Sunday,Baoan-Futian,14:00-15:00,13,9.423288050925937,100-300m,Consumer,Entity_121
2023-03-06,4,No,Individual,Ent_3,Longgang,Mavic 3,Monday,Nanshan-Futian,13:00-14:00,20,7.250129476904382,300-600m,Passenger,Entity_196
2023-02-10,4,No,Unknown,Ent_27,Longgang,EH216,Friday,Futian-Longgang,06:00-07:00,10,18.421431949072325,>600m,Industrial,Entity_96
2023-12-11,4,No,Unknown,Ent_84,Longgang,Matrice 300,Monday,Futian-Baoan,14:00-15:00,29,2.574157195104002,300-600m,Passenger,Entity_184
2023-04-16,5,Yes,Enterprise,Ent_21,Longgang,Mavic 3,Sunday,Futian-Nanshan,10:00-11:00,59,17.441144761592458,0-100m,Passenger,Entity_153
2023-04-13,2,No,Enterprise,Ent_58,Baoan,Mavic 3,Thursday,Nanshan-Futian,16:00-17:00,47,10.052575458376449,>600m,Passenger,Entity_54
2023-01-15,4,Yes,Enterprise,Ent_52,Luohu,Matrice 300,Sunday,Baoan-Baoan,11:00-12:00,33,13.328541673897059,300-600m,Consumer,Entity_194
2023-11-28,2,No,Individual,Ent_80,Futian,Mavic 3,Tuesday,Nanshan-Longgang,11:00-12:00,46,10.26587757007782,300-600m,Logistics,Entity_21
2023-07-06,4,No,Individual,XAG,Luohu,EH216,Thursday,Longgang-Baoan,20:00-21:00,7,13.054732716085448,300-600m,Logistics,Entity_86
2023-09-24,3,Yes,Unknown,Ent_75,Longgang,Matrice 300,Sunday,Longgang-Longgang,12:00-13:00,6,14.069554352593608,100-300m,Industrial,Entity_165
2023-03-23,4,No,Unknown,Ent_99,Luohu,V1500,Thursday,Baoan-Futian,14:00-15:00,23,10.981575792859404,>600m,Logistics,Entity_119
2023-11-07,2,No,Individual,Ent_89,Baoan,Mavic 3,Tuesday,Baoan-Longgang,21:00-22:00,38,9.365921462842124,100-300m,Consumer,Entity_128
2023-07-06,3,No,Unknown,Ent_13,Baoan,Agras T40,Thursday,Longgang-Longgang,08:00-09:00,46,2.847978041672829,300-600m,Passenger,Entity_2
2023-05-29,2,No,Unknown,Ent_4,Nanshan,Mavic 3,Monday,Baoan-Baoan,06:00-07:00,50,3.8409807610567452,300-600m,Logistics,Entity_182
2023-03-02,5,No,Enterprise,Ent_4,Luohu,V1500,Thursday,Baoan-Longgang,08:00-09:00,42,17.042680828737545,0-100m,Industrial,Entity_178
2023-05-18,1,No,Enterprise,Ent_52,Nanshan,Agras T40,Thursday,Nanshan-Baoan,08:00-09:00,47,15.790238979380424,>600m,Consumer,Entity_33
